Country	Crime Index	Year
Venezuela	82.59	2018
Papua New Guinea	79.95	2018
Honduras	78.89	2018
South Sudan	75.94	2018
South Africa	75.71	2018
Afghanistan	74.40	2018
Trinidad And Tobago	72.22	2018
Brazil	70.55	2018
El Salvador	69.72	2018
Bangladesh	68.52	2018
Namibia	68.22	2018
Syria	67.74	2018
Jamaica	66.87	2018
Puerto Rico	64.94	2018
Angola	64.53	2018
Peru	63.91	2018
Guyana	63.47	2018
Nigeria	63.12	2018
Malaysia	63.05	2018
Mongolia	62.56	2018
Argentina	61.79	2018
Dominican Republic	61.53	2018
Bahamas	60.16	2018
Tanzania	59.83	2018
Kenya	59.77	2018
Guatemala	59.35	2018
Fiji	58.95	2018
Somalia	57.50	2018
Uganda	56.77	2018
Libya	56.74	2018
Zimbabwe	54.56	2018
Cambodia	54.38	2018
Costa Rica	53.89	2018
Egypt	53.72	2018
Bolivia	52.89	2018
Vietnam	52.22	2018
Uruguay	51.83	2018
Maldives	51.70	2018
Pakistan	51.23	2018
Mexico	51.05	2018
Algeria	50.68	2018
Colombia	50.66	2018
United States	49.58	2018
Iran	49.40	2018
Ukraine	49.39	2018
Sweden	49.26	2018
Ecuador	49.18	2018
Lebanon	49.16	2018
Kazakhstan	49.15	2018
Morocco	48.51	2018
Panama	48.35	2018
Mauritius	48.31	2018
Ethiopia	47.67	2018
Thailand	47.25	2018
Paraguay	46.86	2018
Chile	46.48	2018
Moldova	45.66	2018
France	45.29	2018
Russia	45.20	2018
Ghana	45.00	2018
Indonesia	44.72	2018
Jordan	44.55	2018
Italy	44.53	2018
India	44.16	2018
Ireland	43.82	2018
Iraq	43.34	2018
Norway	43.33	2018
Australia	42.55	2018
Belgium	42.17	2018
Sri Lanka	41.75	2018
United Kingdom	41.20	2018
Turkey	41.06	2018
Tunisia	40.43	2018
North Macedonia	40.21	2018
Philippines	40.13	2018
Bosnia And Herzegovina	40.05	2018
Albania	39.87	2018
Bulgaria	39.70	2018
Nepal	39.51	2018
China	39.44	2018
Canada	39.28	2018
New Zealand	39.15	2018
Greece	39.07	2018
Palestine	37.95	2018
Serbia	37.76	2018
Lithuania	37.59	2018
Montenegro	37.51	2018
Kuwait	37.03	2018
Bahrain	36.96	2018
Israel	36.90	2018
Latvia	36.89	2018
Spain	36.74	2018
Saudi Arabia	36.69	2018
Germany	36.65	2018
Hungary	36.51	2018
Poland	36.23	2018
South Korea	35.83	2018
Brunei	35.41	2018
Portugal	34.54	2018
Luxembourg	32.12	2018
Malta	31.93	2018
Azerbaijan	30.52	2018
Cyprus	30.18	2018
Slovakia	30.15	2018
Romania	29.04	2018
Netherlands	28.94	2018
Czech Republic	28.81	2018
Armenia	28.28	2018
Oman	27.37	2018
Croatia	27.00	2018
Belarus	26.55	2018
Slovenia	24.71	2018
Iceland	24.49	2018
Finland	23.70	2018
Denmark	22.02	2018
Switzerland	21.76	2018
Hong Kong	20.90	2018
Estonia	20.83	2018
Taiwan	20.74	2018
Austria	20.41	2018
Georgia	20.35	2018
United Arab Emirates	18.75	2018
Singapore	16.23	2018
Qatar	15.70	2018
Japan	13.10	2018
Venezuela	83.23	2019
Papua New Guinea	79.88	2019
Honduras	76.84	2019
South Africa	76.80	2019
Afghanistan	76.63	2019
South Sudan	75.94	2019
Trinidad And Tobago	74.04	2019
Brazil	70.24	2019
Namibia	68.66	2019
El Salvador	68.08	2019
Kazakhstan	66.51	2019
Bangladesh	65.82	2019
Puerto Rico	65.53	2019
Jamaica	65.28	2019
Peru	65.28	2019
Nigeria	64.41	2019
Syria	63.59	2019
Angola	63.57	2019
Argentina	62.55	2019
Fiji	62.50	2019
Dominican Republic	61.35	2019
Malaysia	60.79	2019
Somalia	60.10	2019
Mongolia	59.76	2019
Guyana	59.55	2019
Libya	59.18	2019
Tanzania	59.01	2019
Bahamas	57.25	2019
Costa Rica	56.05	2019
Guatemala	55.92	2019
Kenya	54.82	2019
Bolivia	53.29	2019
Maldives	53.29	2019
Uganda	53.27	2019
Mexico	52.30	2019
Uruguay	52.01	2019
Ghana	51.95	2019
Zimbabwe	51.80	2019
Cambodia	51.28	2019
Colombia	51.26	2019
Egypt	50.71	2019
Morocco	50.24	2019
Sweden	49.35	2019
Iran	49.33	2019
Ecuador	48.98	2019
Ukraine	48.88	2019
Vietnam	48.78	2019
Algeria	48.33	2019
Ethiopia	47.18	2019
United States	47.13	2019
Mauritius	46.81	2019
Chile	46.81	2019
Pakistan	46.73	2019
Thailand	46.66	2019
Panama	46.43	2019
France	46.39	2019
Indonesia	46.01	2019
Iraq	45.56	2019
China	45.46	2019
Moldova	45.45	2019
Italy	45.02	2019
Ireland	44.52	2019
Paraguay	44.27	2019
Lebanon	44.27	2019
Jordan	43.82	2019
Bosnia And Herzegovina	43.79	2019
Australia	42.76	2019
India	42.72	2019
United Kingdom	42.72	2019
Belgium	42.46	2019
Tunisia	42.29	2019
Russia	41.93	2019
Sri Lanka	41.03	2019
Philippines	40.83	2019
Montenegro	40.48	2019
Turkey	40.38	2019
Albania	40.30	2019
Bulgaria	40.00	2019
New Zealand	39.55	2019
Canada	39.51	2019
North Macedonia	39.29	2019
Greece	38.57	2019
Serbia	37.27	2019
Palestine	36.99	2019
Latvia	36.77	2019
Lithuania	36.51	2019
Nepal	36.44	2019
Norway	35.32	2019
Hungary	35.17	2019
Brunei	34.77	2019
Germany	34.51	2019
South Korea	34.05	2019
Kuwait	33.91	2019
Malta	33.53	2019
Bahrain	32.87	2019
Spain	32.46	2019
Israel	32.16	2019
Portugal	32.13	2019
Azerbaijan	31.67	2019
Poland	30.09	2019
Saudi Arabia	29.73	2019
Slovakia	29.54	2019
Cyprus	29.31	2019
Luxembourg	29.07	2019
Netherlands	28.57	2019
Romania	27.84	2019
Czech Republic	26.66	2019
Croatia	24.69	2019
Denmark	24.25	2019
Belarus	23.53	2019
Iceland	23.28	2019
Oman	22.83	2019
Finland	22.80	2019
Slovenia	22.57	2019
Armenia	22.00	2019
Switzerland	21.50	2019
Singapore	21.47	2019
Austria	21.37	2019
Estonia	20.80	2019
Georgia	19.86	2019
Hong Kong	19.32	2019
Taiwan	17.38	2019
United Arab Emirates	16.32	2019
Japan	13.73	2019
Qatar	13.26	2019
